account,obs_date,risk_score_7d,label_7d
0xdb09782a7a3bc41b3dd1b9b0c31d141dcfa44ab1,2023-06-25,0.9252524,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-12-11,0.9247548,0
0xdb09782a7a3bc41b3dd1b9b0c31d141dcfa44ab1,2023-06-09,0.92359614,1
0x056ca58d6eebb4e442ac3bdafbbdee9752d1a67d,2024-03-19,0.90966195,0
0x81e65c7ec499e60fe919a88c72fd98bfcd3ed9da,2024-03-19,0.9090166,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-12-10,0.90005904,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-11-27,0.8964405,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-11-24,0.89462787,0
0x12fa953cf9a207c299753f3af011022d8efef132,2023-05-15,0.892232,0
0x65a42d3647d5fd2e86f05eed735fd3996c361e30,2024-07-11,0.8878924,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-12-12,0.88761324,0
0x9223f4702d712f6a0a8b2c8671e1f66be6cbad21,2023-04-22,0.88639975,0
0xdb09782a7a3bc41b3dd1b9b0c31d141dcfa44ab1,2023-04-25,0.8858715,0
0x4306c088fa31fe77da9f513ea31823e877417243,2023-10-10,0.8855055,0
0x4306c088fa31fe77da9f513ea31823e877417243,2023-08-25,0.8843694,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-11-26,0.8824339,0
0x74ee5918f25e39fafa72cba2635c0cc00c6cf5a5,2023-06-10,0.87932855,0
0x7355e022241a0ba5d04d2ee466af4d8c3c92eda1,2024-11-15,0.8780587,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-11-25,0.87734365,0
0x57f706fbdc31dbd6a079bfd38b6bdc71c8ff7c3b,2023-06-25,0.87685925,0
0x9223f4702d712f6a0a8b2c8671e1f66be6cbad21,2023-04-21,0.8741979,0
0xf362dd263ed4f967237db825696e7387000c4940,2024-11-23,0.87193865,0
0x8e978faea665092acf47f57bc94785c4ffecb756,2024-12-10,0.86901,0
0x12fa953cf9a207c299753f3af011022d8efef132,2023-05-29,0.86890364,0
0x1997490ec601d29d2f8a6c4b96757f9316000246,2025-02-28,0.86886984,0
0x8b6132da199fc59afc5ee1efa43074f39da3dd8a,2023-06-10,0.86799794,0
0xb28a71bb3ad0667acfbbb6fe77e42dae361146ec,2023-09-11,0.86547726,0
0x12fa953cf9a207c299753f3af011022d8efef132,2023-06-01,0.865421,0
0x68b18d388994336f341b4997360bb45f9f8701c9,2024-07-11,0.86519957,0
0x57f706fbdc31dbd6a079bfd38b6bdc71c8ff7c3b,2023-07-20,0.86476266,0
0xfd2b9fb18ab5cf84fc631a681438e0ea307b937e,2024-07-08,0.86436325,0
